iter	RMSE
0	40.05383916
1	39.3476272
2	38.71423821
3	38.17184559
4	37.71007541
5	37.32517349
6	36.9367317
7	36.5453537
8	36.17187571
9	35.86560056
10	35.61194364
11	35.37003635
12	35.19447471
13	35.02309583
14	34.80215621
15	34.60880768
16	34.44392128
17	34.32183405
18	34.22648095
19	34.10474092
20	33.99231021
21	33.90764466
22	33.74666616
23	33.63532792
24	33.53575204
25	33.46563839
26	33.378573
27	33.32594512
28	33.25857255
29	33.17951407
30	33.10551443
31	33.01595187
32	32.94442231
33	32.87513514
34	32.78474796
35	32.71490283
36	32.67373798
37	32.61510683
38	32.55909619
39	32.52505669
40	32.47404986
41	32.43849642
42	32.40965534
43	32.37979643
44	32.32843298
45	32.29621299
46	32.26049144
47	32.22612479
48	32.19867403
49	32.17681352
50	32.13185967
51	32.10367387
52	32.08184429
53	32.05292835
54	32.02112229
55	31.99469525
56	31.96523483
57	31.9386757
58	31.9045122
59	31.87553089
60	31.84053469
61	31.81529867
62	31.80612197
63	31.78783636
64	31.75814101
65	31.7358041
66	31.71686938
67	31.69618133
68	31.67173458
69	31.65208504
70	31.63637617
71	31.60789795
72	31.59333074
73	31.56702909
74	31.55684293
75	31.54532303
76	31.52725876
77	31.49374217
78	31.47189695
79	31.45906997
80	31.43791434
81	31.40509157
82	31.38490522
83	31.36969218
84	31.34820891
85	31.33362777
86	31.31977271
87	31.30808311
88	31.28868203
89	31.27132302
90	31.25447105
91	31.23680586
92	31.22317757
93	31.20394306
94	31.19550288
95	31.17935383
96	31.16182238
97	31.14887434
98	31.12845477
99	31.10277709
100	31.08356991
101	31.06969994
102	31.05551115
103	31.04237594
104	31.025205
105	31.01208664
106	30.99593566
107	30.98275397
108	30.97127404
109	30.96498564
110	30.94505446
111	30.93015335
112	30.91814156
113	30.90653003
114	30.89309068
115	30.88203874
116	30.86734007
117	30.85733614
118	30.83896233
119	30.8285684
120	30.81500823
121	30.80216201
122	30.79090211
123	30.77871871
124	30.76724584
125	30.74598046
126	30.73026313
127	30.72179766
128	30.71131618
129	30.6998042
130	30.67881542
131	30.65529358
132	30.64350081
133	30.62461293
134	30.60893368
135	30.5975367
136	30.58638022
137	30.57387655
138	30.56767972
139	30.55107288
140	30.53677228
141	30.52110659
142	30.50486517
143	30.48420779
144	30.46630106
145	30.45776964
146	30.45045918
147	30.43637448
148	30.42060506
149	30.40346164
150	30.38538222
151	30.37235082
152	30.36066339
153	30.34653537
154	30.33512582
155	30.32421537
156	30.31138018
157	30.3003292
158	30.290705
159	30.27820958
160	30.26976918
161	30.25327593
162	30.24618516
163	30.23201165
164	30.22475396
165	30.20317917
166	30.19132602
167	30.1839509
168	30.168251
169	30.1600878
170	30.15160602
171	30.14115061
172	30.12706787
173	30.11170037
174	30.10137001
175	30.08526329
176	30.07343497
177	30.05756719
178	30.04345528
179	30.03346422
180	30.01296016
181	29.99755292
182	29.98546381
183	29.97127489
184	29.96378842
185	29.9469935
186	29.93922875
187	29.92158618
188	29.91060943
189	29.90498483
190	29.89260145
191	29.88331272
192	29.87371422
193	29.85773756
194	29.84947216
195	29.84061186
196	29.83361971
197	29.81595102
198	29.80329408
199	29.78833581
200	29.77934427
201	29.76419023
202	29.75537561
203	29.74701259
204	29.73892658
205	29.72493032
206	29.71551564
207	29.7080306
208	29.70014186
209	29.68860752
210	29.68096832
211	29.67156047
212	29.65752289
213	29.6481058
214	29.64210113
215	29.63103803
216	29.62133782
217	29.61293616
218	29.60282744
219	29.59589384
220	29.5864045
221	29.57438085
222	29.5658022
223	29.55617324
224	29.54680257
225	29.5355923
226	29.52895351
227	29.51939992
228	29.51160217
229	29.50375073
230	29.49550765
231	29.48923189
232	29.48113973
233	29.47337847
234	29.46210787
235	29.45418453
236	29.44613228
237	29.43813314
238	29.43016542
239	29.42277344
240	29.41884698
241	29.4074558
242	29.39543848
243	29.38290862
244	29.37278872
245	29.36784386
246	29.3545335
247	29.34279946
248	29.33766559
249	29.32635883
250	29.31982025
251	29.30961553
252	29.30218246
253	29.29490807
254	29.28548046
255	29.27256091
256	29.26132614
257	29.253642
258	29.2500946
259	29.2402893
260	29.22792206
261	29.21501925
262	29.20751148
263	29.19903078
264	29.19172162
265	29.18121301
266	29.17317092
267	29.16600642
268	29.16047273
269	29.15182435
270	29.14396217
271	29.13394625
272	29.12609105
273	29.1202949
274	29.11053709
275	29.10455041
276	29.09347785
277	29.08512219
278	29.08120013
279	29.0750728
280	29.07080691
281	29.06120756
282	29.0545948
283	29.04986582
284	29.04495569
285	29.03754689
286	29.03064463
287	29.02630883
288	29.02030635
289	29.01199381
290	28.99927062
291	28.99266226
292	28.9863211
293	28.97598361
294	28.97159827
295	28.96285531
296	28.95389091
297	28.94793847
298	28.9411218
299	28.93130736
300	28.92256199
301	28.9148478
302	28.90586927
303	28.89744749
304	28.88942831
305	28.88450115
306	28.87715536
307	28.86952025
308	28.86129796
309	28.85707882
310	28.85213117
311	28.84585125
312	28.83967881
313	28.83062795
314	28.823472
315	28.815351
316	28.80744181
317	28.80080023
318	28.79406126
319	28.78283953
320	28.77608778
321	28.77232308
322	28.76228965
323	28.75401405
324	28.74928391
325	28.74264986
326	28.73846553
327	28.73378316
328	28.72859072
329	28.71953428
330	28.71570968
331	28.71003687
332	28.70151149
333	28.69202878
334	28.68492204
335	28.67743494
336	28.67171499
337	28.66115406
338	28.65520791
339	28.64435585
340	28.63820351
341	28.62996029
342	28.62106481
343	28.61648935
344	28.61349793
345	28.60900778
346	28.60114725
347	28.59501715
348	28.58333515
349	28.57821114
350	28.57210952
351	28.56667449
352	28.55732478
353	28.5530527
354	28.5479822
355	28.53728038
356	28.5290186
357	28.52267524
358	28.51641052
359	28.51211332
360	28.50663714
361	28.4992928
362	28.49516901
363	28.48698834
364	28.47923267
365	28.47335996
366	28.46550184
367	28.46075019
368	28.45650479
369	28.45119551
370	28.44422566
371	28.43706464
372	28.43331297
373	28.42378742
374	28.41602133
375	28.40976249
376	28.40452506
377	28.39737852
378	28.38928856
379	28.38514184
380	28.37803009
381	28.372268
382	28.36730926
383	28.36134154
384	28.35464161
385	28.35083972
386	28.34703467
387	28.34020912
388	28.33207516
389	28.32684922
390	28.32131473
391	28.31585883
392	28.31233819
393	28.30421734
394	28.3009826
395	28.29325718
396	28.28984952
397	28.28386431
398	28.27871618
399	28.27374757
400	28.26725307
401	28.25920607
402	28.25325367
403	28.24576703
404	28.24147646
405	28.23745775
406	28.2286301
407	28.22205826
408	28.21693939
409	28.21157947
410	28.20337838
411	28.19690897
412	28.19013378
413	28.1857703
414	28.18167285
415	28.17599261
416	28.16945669
417	28.16326969
418	28.15594824
419	28.14968067
420	28.14040293
421	28.13473993
422	28.12809392
423	28.12242941
424	28.11761529
425	28.11284637
426	28.10709275
427	28.1007967
428	28.09350871
429	28.08790429
430	28.08333758
431	28.07631636
432	28.07057759
433	28.06785987
434	28.06318541
435	28.05846647
436	28.05373533
437	28.04885111
438	28.04377332
439	28.03992361
440	28.03177118
441	28.02735628
442	28.02150608
443	28.01751059
444	28.00981491
445	28.00380889
446	27.99760182
447	27.99336639
448	27.984062
449	27.98048432
450	27.97140963
451	27.96723935
452	27.96014889
453	27.95389784
454	27.94656984
455	27.93833595
456	27.9335584
457	27.92705265
458	27.92083107
459	27.91715936
460	27.9107193
461	27.90316697
462	27.89867865
463	27.89443965
464	27.89104761
465	27.88700353
466	27.88256857
467	27.87731984
468	27.8702702
469	27.86329537
470	27.86078626
471	27.85417947
472	27.84913945
473	27.84445585
474	27.83820043
475	27.83158716
476	27.82654332
477	27.8226178
478	27.81481651
479	27.81036905
480	27.80749842
481	27.8013254
482	27.79491038
483	27.7895838
484	27.78304749
485	27.7787474
486	27.77454725
487	27.76721215
488	27.76191346
489	27.75720168
490	27.7498827
491	27.74294784
492	27.73525405
493	27.73000223
494	27.72626065
495	27.72234595
496	27.71758172
497	27.71296442
498	27.70857591
499	27.70471876
500	27.69851809
501	27.69375576
502	27.68723812
503	27.68123799
504	27.67872226
505	27.67292268
506	27.66705027
507	27.66239968
508	27.65791946
509	27.65213643
510	27.64475872
511	27.64127017
512	27.63436873
513	27.62950224
514	27.62064472
515	27.61752843
516	27.61399306
517	27.60761304
518	27.6007211
519	27.59685514
520	27.58973217
521	27.58605485
522	27.58341917
523	27.58119985
524	27.57446058
525	27.56880158
526	27.56596611
527	27.55978119
528	27.55328349
