iter	Passed	Remaining
0	4	4820
1	9	4529
2	12	4202
3	15	3948
4	20	4019
5	23	3862
6	26	3766
7	29	3639
8	32	3574
9	35	3503
10	38	3471
11	42	3460
12	44	3402
13	47	3351
14	49	3278
15	52	3206
16	54	3156
17	57	3119
18	59	3088
19	62	3055
20	65	3061
21	68	3040
22	71	3019
23	73	3000
24	76	2993
25	79	2972
26	81	2953
27	84	2934
28	87	2921
29	89	2906
30	92	2888
31	95	2880
32	97	2870
33	100	2860
34	103	2860
35	106	2848
36	109	2843
37	112	2836
38	114	2826
39	117	2815
40	120	2809
41	122	2804
42	125	2793
43	128	2786
44	130	2774
45	133	2767
46	136	2764
47	138	2754
48	141	2750
49	144	2744
50	147	2737
51	149	2732
52	152	2717
53	154	2715
54	157	2710
55	160	2704
56	163	2697
57	165	2687
58	168	2681
59	170	2676
60	173	2666
61	176	2664
62	177	2647
63	180	2637
64	183	2633
65	185	2628
66	188	2624
67	191	2620
68	193	2610
69	196	2606
70	198	2601
71	201	2599
72	204	2593
73	208	2611
74	212	2615
75	214	2607
76	217	2602
77	220	2602
78	222	2599
79	225	2594
80	228	2591
81	231	2588
82	233	2584
83	236	2581
84	239	2573
85	241	2568
86	244	2565
87	247	2563
88	249	2558
89	252	2553
90	255	2549
91	257	2546
92	260	2541
93	263	2537
94	265	2531
95	268	2526
96	271	2523
97	273	2517
98	276	2514
99	278	2510
100	281	2508
101	284	2505
102	287	2503
103	290	2500
104	293	2500
105	296	2497
106	299	2495
107	302	2497
108	305	2498
109	309	2500
110	311	2494
111	313	2488
112	316	2483
113	319	2482
114	322	2478
115	324	2474
116	327	2470
117	330	2468
118	332	2464
119	335	2462
120	338	2457
121	340	2452
122	343	2450
123	346	2446
124	349	2443
125	351	2437
126	353	2432
127	356	2429
128	359	2425
129	362	2423
130	366	2429
131	369	2426
132	371	2421
133	374	2417
134	376	2413
135	379	2413
136	382	2408
137	385	2404
138	387	2402
139	390	2396
140	393	2396
141	396	2394
142	399	2394
143	402	2390
144	404	2386
145	407	2383
146	409	2378
147	412	2374
148	415	2372
149	417	2368
150	420	2363
151	422	2359
152	425	2355
153	428	2351
154	432	2355
155	434	2351
156	437	2348
157	440	2345
158	442	2340
159	445	2338
160	448	2335
161	451	2333
162	454	2332
163	457	2329
164	459	2325
165	462	2325
166	465	2321
167	467	2316
168	470	2314
169	473	2311
170	476	2308
171	478	2305
172	481	2301
173	484	2298
174	486	2294
175	489	2293
176	492	2291
177	495	2286
178	497	2280
179	499	2276
180	502	2272
181	504	2269
182	507	2267
183	510	2263
184	512	2258
185	515	2253
186	517	2249
187	520	2247
188	522	2242
189	525	2238
190	528	2237
191	530	2232
192	533	2229
193	535	2225
194	538	2223
195	541	2219
196	544	2218
197	546	2215
198	549	2211
199	552	2208
200	554	2204
201	557	2201
202	559	2198
203	562	2194
204	564	2190
205	567	2185
206	570	2184
207	573	2181
208	575	2179
209	578	2175
210	580	2172
211	583	2169
212	587	2169
213	590	2168
214	594	2171
215	597	2168
216	600	2165
217	603	2164
218	605	2160
219	608	2157
220	611	2155
221	613	2151
222	616	2148
223	619	2145
224	622	2143
225	624	2140
226	627	2137
227	630	2135
228	633	2132
229	636	2129
230	638	2126
231	641	2122
232	643	2119
233	646	2116
234	649	2112
235	651	2109
236	654	2108
237	657	2104
238	660	2101
239	663	2099
240	665	2096
241	668	2093
242	671	2090
243	673	2087
244	676	2083
245	678	2079
246	681	2076
247	684	2074
248	686	2070
249	689	2068
250	692	2066
251	695	2063
252	697	2060
253	700	2058
254	703	2055
255	706	2053
256	709	2049
257	711	2047
258	714	2044
259	717	2041
260	719	2038
261	722	2035
262	725	2032
263	727	2028
264	730	2025
265	733	2022
266	735	2020
267	738	2016
268	741	2013
269	743	2010
270	746	2008
271	749	2005
272	751	2002
273	754	1999
274	757	1996
275	760	1993
276	762	1990
277	765	1987
278	768	1985
279	771	1983
280	773	1980
281	776	1977
282	778	1973
283	781	1970
284	784	1967
285	786	1964
286	789	1960
287	791	1956
288	793	1953
289	796	1950
290	799	1947
291	801	1944
292	804	1941
293	807	1940
294	810	1936
295	813	1934
296	816	1931
297	818	1928
298	821	1925
299	824	1923
300	826	1920
301	829	1917
302	832	1914
303	835	1911
304	837	1908
305	839	1904
306	843	1904
307	846	1901
308	849	1898
309	851	1895
310	854	1892
311	856	1889
312	859	1886
313	862	1884
314	865	1882
315	868	1879
316	870	1876
317	873	1873
318	876	1870
319	879	1868
320	882	1865
321	884	1862
322	887	1860
323	890	1857
324	892	1854
325	896	1854
326	899	1850
327	902	1849
328	905	1845
329	907	1842
330	910	1839
331	912	1836
332	916	1835
333	919	1832
334	921	1829
335	924	1827
336	927	1825
337	930	1821
338	933	1819
339	936	1817
340	938	1814
341	941	1812
342	944	1809
343	948	1807
344	951	1805
345	954	1803
346	957	1801
347	960	1798
348	962	1795
349	965	1792
350	967	1789
351	970	1786
352	972	1783
353	975	1780
354	978	1777
355	980	1774
356	987	1777
357	990	1775
358	993	1773
359	995	1770
360	998	1767
361	1001	1764
362	1003	1761
363	1006	1758
364	1009	1755
365	1013	1754
366	1015	1751
367	1018	1749
368	1020	1745
369	1023	1742
370	1026	1740
371	1029	1738
372	1032	1735
373	1035	1732
374	1037	1729
375	1040	1727
376	1043	1724
377	1045	1721
378	1048	1718
379	1051	1715
380	1054	1712
381	1056	1709
382	1059	1707
383	1062	1704
384	1065	1701
385	1067	1698
386	1070	1695
387	1073	1692
388	1076	1690
389	1078	1687
390	1081	1684
391	1084	1681
392	1086	1678
393	1089	1675
394	1091	1672
395	1094	1669
396	1096	1665
397	1099	1662
398	1101	1659
399	1104	1656
400	1107	1653
401	1109	1650
402	1112	1647
403	1114	1644
404	1117	1641
405	1119	1638
406	1122	1635
407	1125	1632
408	1138	1645
409	1141	1641
410	1143	1638
411	1145	1635
412	1158	1647
413	1163	1646
414	1165	1643
415	1168	1640
416	1171	1637
417	1173	1634
418	1176	1631
419	1179	1628
420	1181	1625
421	1184	1622
422	1187	1619
423	1189	1616
424	1192	1613
425	1195	1610
426	1197	1607
427	1200	1604
428	1202	1601
429	1205	1598
430	1208	1595
431	1211	1592
432	1213	1589
433	1216	1585
434	1218	1582
435	1221	1579
436	1224	1576
437	1226	1573
438	1229	1570
439	1231	1567
440	1234	1564
441	1240	1565
442	1243	1563
443	1246	1560
444	1249	1557
445	1252	1555
446	1254	1552
447	1257	1549
448	1259	1546
449	1262	1543
450	1265	1540
451	1268	1537
452	1273	1537
453	1275	1534
454	1278	1531
455	1281	1528
456	1284	1525
457	1286	1522
458	1289	1519
459	1292	1516
460	1294	1513
461	1297	1511
462	1299	1507
463	1302	1504
464	1305	1501
465	1307	1498
466	1310	1495
467	1312	1492
468	1315	1489
469	1318	1486
470	1320	1483
471	1323	1480
472	1326	1477
473	1328	1474
474	1331	1471
475	1334	1469
476	1336	1465
477	1339	1462
478	1342	1459
479	1345	1457
480	1347	1454
481	1350	1450
482	1352	1448
483	1355	1444
484	1358	1442
485	1360	1438
486	1363	1436
487	1366	1433
488	1368	1430
489	1371	1427
490	1373	1424
491	1376	1421
492	1378	1417
493	1381	1415
494	1384	1412
495	1387	1409
496	1390	1407
497	1393	1404
498	1396	1401
499	1399	1399
500	1403	1398
501	1406	1395
502	1409	1392
503	1412	1389
504	1415	1387
505	1418	1384
506	1420	1381
507	1423	1378
508	1426	1375
509	1429	1373
510	1431	1370
511	1434	1367
512	1437	1364
513	1440	1361
514	1442	1358
515	1445	1356
516	1448	1353
517	1450	1350
518	1453	1347
519	1456	1344
520	1458	1341
521	1461	1338
522	1463	1335
523	1466	1332
524	1469	1329
525	1472	1326
526	1474	1323
527	1477	1320
528	1479	1317
529	1482	1314
530	1485	1311
531	1487	1308
532	1490	1305
533	1493	1302
534	1495	1299
535	1498	1296
536	1500	1293
537	1503	1290
538	1505	1287
539	1508	1285
540	1511	1282
541	1514	1279
542	1516	1276
543	1519	1273
544	1522	1270
545	1524	1267
546	1527	1265
547	1530	1262
548	1532	1259
549	1535	1256
550	1538	1254
551	1541	1250
552	1543	1248
553	1546	1245
554	1549	1242
555	1551	1238
556	1553	1235
557	1556	1232
558	1559	1230
559	1562	1227
560	1564	1224
561	1567	1221
562	1570	1218
563	1574	1217
564	1576	1213
565	1579	1211
566	1581	1207
567	1584	1204
568	1586	1201
569	1589	1198
570	1593	1197
571	1596	1194
572	1598	1191
573	1601	1188
574	1604	1185
575	1606	1182
576	1609	1180
577	1612	1177
578	1615	1174
579	1621	1174
580	1627	1173
581	1629	1170
582	1634	1169
583	1637	1166
584	1640	1163
585	1642	1160
586	1645	1157
587	1651	1157
588	1654	1154
589	1660	1154
590	1663	1151
591	1669	1150
592	1672	1147
593	1674	1144
594	1678	1142
595	1682	1140
596	1685	1137
597	1688	1134
598	1691	1132
599	1694	1129
600	1696	1126
601	1698	1123
602	1702	1120
603	1706	1118
604	1709	1115
605	1712	1113
606	1714	1110
607	1717	1107
608	1721	1105
609	1724	1102
610	1727	1099
611	1729	1096
612	1731	1093
613	1734	1090
614	1737	1087
615	1740	1084
616	1742	1081
617	1748	1081
618	1751	1078
619	1754	1075
620	1757	1072
621	1760	1069
622	1763	1067
623	1766	1064
624	1768	1061
625	1771	1058
626	1774	1055
627	1776	1052
628	1779	1049
629	1781	1046
630	1784	1043
631	1786	1040
632	1789	1037
633	1792	1034
634	1795	1032
635	1798	1029
636	1806	1029
637	1810	1027
638	1813	1024
639	1815	1021
640	1818	1018
641	1820	1015
642	1822	1012
643	1825	1009
644	1828	1006
645	1831	1003
646	1833	1000
647	1836	997
648	1838	994
649	1845	993
650	1848	990
651	1854	989
652	1857	986
653	1859	983
654	1862	980
655	1864	977
656	1871	977
657	1874	974
658	1877	971
659	1879	968
660	1882	965
661	1887	963
662	1889	960
663	1892	957
664	1894	954
665	1898	951
666	1903	950
667	1905	947
668	1908	944
669	1910	941
670	1913	938
671	1916	935
672	1920	932
673	1922	930
674	1929	929
675	1936	928
676	1939	925
677	1941	922
678	1943	918
679	1946	916
680	1949	913
681	1952	910
682	1955	907
683	1958	904
684	1961	901
685	1963	898
686	1967	896
687	1970	893
688	1972	890
689	1975	887
690	1980	885
691	1982	882
692	1984	879
693	1986	876
694	1989	872
695	1992	870
696	1995	867
697	1997	864
698	2000	861
699	2003	858
700	2006	855
701	2008	852
702	2012	850
703	2015	847
704	2017	844
705	2020	841
706	2023	838
707	2025	835
708	2028	832
709	2031	829
710	2033	826
711	2036	823
712	2038	820
713	2041	817
714	2044	814
715	2047	812
716	2049	809
717	2052	806
718	2055	803
719	2057	800
720	2059	797
721	2063	794
722	2065	791
723	2068	788
724	2070	785
725	2073	782
726	2076	779
727	2078	776
728	2081	773
729	2084	770
730	2087	768
731	2089	765
732	2092	762
733	2095	759
734	2097	756
735	2100	753
736	2103	750
737	2105	747
738	2108	744
739	2111	741
740	2113	738
741	2116	735
742	2119	733
743	2122	730
744	2124	727
745	2127	724
746	2130	721
747	2133	718
748	2136	715
749	2139	713
750	2142	710
751	2145	707
752	2147	704
753	2150	701
754	2152	698
755	2155	695
756	2158	693
757	2161	690
758	2164	687
